1/01/1950,142.54
1/01/1951,159.34
1/01/1952,151.59
1/01/1953,161.5
1/01/1954,162.74
1/01/1955,174.89
1/01/1956,198.91
1/01/1957,192.32
1/01/1958,203.99
1/01/1959,215.41
1/01/1960,219.07
1/01/1961,219.82
1/01/1962,230.74
1/01/1963,249.93
1/01/1964,262.16
1/01/1965,267.96
1/01/1966,275.7
1/01/1967,288.32
1/01/1968,306.65
1/01/1969,324.51
1/01/1970,346.6
1/01/1971,367.47
1/01/1972,374.91
1/01/1973,399.24
1/01/1974,401.91
1/01/1975,395.41
1/01/1976,422.69
1/01/1977,440.05
1/01/1978,455.99
1/01/1979,459.83
1/01/1980,461.86
1/01/1981,449.3
1/01/1982,450.01
1/01/1983,448.04
1/01/1984,469.11
1/01/1985,489.21
1/01/1986,490.02
1/01/1987,504.25
1/01/1988,519.5
1/01/1989,521.8
1/01/1990,521.71
1/01/1991,532.69
1/01/1992,531.24
1/01/1993,522.73
1/01/1994,531.25
1/01/1995,539.98
1/01/1996,557.82
1/01/1997,559
1/01/1998,553.73
1/01/1999,556.57
1/01/2000,577.87
1/01/2001,586.4
1/01/2002,593.19
1/01/2003,628.99
1/01/2004,651.81
1/01/2005,680.09
1/01/2006,681.96
1/01/2007,709.37
1/01/2008,738.76
1/01/2009,727.51
1/01/2010,743.11
1/01/2011,782.8
2/01/1950,132.88
2/01/1951,146.57
2/01/1952,142.63
2/01/1953,151.3
2/01/1954,148.24
2/01/1955,160.66
2/01/1956,177.97
2/01/1957,175.74
2/01/1958,185.78
2/01/1959,196.48
2/01/1960,202.58
2/01/1961,203.64
2/01/1962,212.89
2/01/1963,227.21
2/01/1964,237.64
2/01/1965,247.75
2/01/1966,259.84
2/01/1967,266.49
2/01/1968,283.37
2/01/1969,301.46
2/01/1970,322.49
2/01/1971,346.98
2/01/1972,353.47
2/01/1973,374.67
2/01/1974,373.12
2/01/1975,369.57
2/01/1976,389.17
2/01/1977,403.53
2/01/1978,425.82
2/01/1979,427.87
2/01/1980,426.98
2/01/1981,415.65
2/01/1982,416.69
2/01/1983,412.01
2/01/1984,435.12
2/01/1985,453.27
2/01/1986,456.14
2/01/1987,463.69
2/01/1988,488.03
2/01/1989,492.34
2/01/1990,474.12
2/01/1991,501
2/01/1992,487.75
2/01/1993,493.97
2/01/1994,501.95
2/01/1995,497
2/01/1996,529.1
2/01/1997,511.98
2/01/1998,504.99
2/01/1999,518.24
2/01/2000,544.63
2/01/2001,544.24
2/01/2002,539.55
2/01/2003,582.77
2/01/2004,619.03
2/01/2005,619.39
2/01/2006,639.65
2/01/2007,656.78
2/01/2008,673.48
2/01/2009,661.56
2/01/2010,687.61
2/01/2011,705.27
3/01/1950,138.44
3/01/1951,148.1
3/01/1952,148.79
3/01/1953,157.98
3/01/1954,156
3/01/1955,170.4
3/01/1956,183.26
3/01/1957,186.19
3/01/1958,196.84
3/01/1959,205.42
3/01/1960,217.85
3/01/1961,217.59
3/01/1962,229.67
3/01/1963,238.1
3/01/1964,244.46
3/01/1965,262.97
3/01/1966,274.77
3/01/1967,281.93
3/01/1968,297.67
3/01/1969,317.95
3/01/1970,339.63
3/01/1971,361.83
3/01/1972,367.14
3/01/1973,397.27
3/01/1974,396.32
3/01/1975,388.94
3/01/1976,413.25
3/01/1977,429.48
3/01/1978,449.2
3/01/1979,459.26
3/01/1980,453.36
3/01/1981,440.11
3/01/1982,445
3/01/1983,444.92
3/01/1984,463.93
3/01/1985,477.6
3/01/1986,481.82
3/01/1987,499.25
3/01/1988,519.45
3/01/1989,532.2
3/01/1990,517.67
3/01/1992,519.16
3/01/1993,534.11
3/01/1994,531.96
3/01/1995,538.52
3/01/1996,555.14
3/01/1997,542.81
3/01/1998,546.61
3/01/1999,561.6
